Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/04  23:00:00,117.709217113,0.0,0.0,0.0,43.513341876,52.539744,13.4763376467,0.0,4.83426,8.64207764672
 01/04  24:00:00,118.681038403,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  01:00:00,117.732687275,0.0,0.0,0.0,43.513341876,52.539744,13.4525742634,0.0,4.83426,8.6183142634
 01/05  02:00:00,117.716854795,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  03:00:00,117.708767721,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  04:00:00,117.687946198,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  05:00:00,118.112206354,0.0,0.0,0.0,43.513341876,52.539744,13.4525389796,0.0,4.83426,8.61827897955
 01/05  06:00:00,118.087197947,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  07:00:00,196.115186283,75.7303620347,0.0,0.0,43.513341876,53.238744,1247.28653608,1242.43227608,4.83426,0.02
 01/05  08:00:00,355.728983666,75.7303620347,0.0,0.0,220.879908,53.238744,1051.28219961,1020.13896059,4.83426,26.3089790215
 01/05  09:00:00,447.182196476,75.7303620347,0.0,0.0,220.879908,145.652643033,640.106225118,577.362393166,36.25695,26.4868819516
 01/05  10:00:00,472.023729759,75.769203233,24.586387191,0.0,220.879908,145.652643033,346.472757036,265.625033247,36.25695,44.5907737896
 01/05  11:00:00,601.921805762,76.5025367092,145.155725457,0.0,220.879908,151.653867033,184.50514303,100.437099467,48.3426,35.7254435636
 01/05  12:00:00,750.207483114,78.3766495993,288.138506347,0.0,220.879908,151.653867033,99.6276462567,6.47013230617,48.3426,44.8149139505
 01/05  13:00:00,845.404344738,80.265787772,383.124013633,0.0,220.879908,151.653867033,102.261859344,0.0,48.3426,53.9192593443
 01/05  14:00:00,869.897031905,80.9374385888,413.341746715,0.0,220.879908,145.652643033,69.2284437813,0.0360106864034,24.1713,45.0211330949
 01/05  15:00:00,841.123259715,79.7829030153,384.090243131,0.0,220.879908,145.652643033,68.8088737284,0.0283365807285,24.1713,44.6092371477
 01/05  16:00:00,778.359833413,79.0810670856,331.461295919,0.0,220.879908,137.835547516,42.8898281462,2.30435244166,4.83426,35.7512157046
 01/05  17:00:00,665.530868777,76.2352043598,224.018177409,0.0,220.879908,133.019064,50.7393378434,10.4281820142,4.83426,35.4768958292
 01/05  18:00:00,488.579216928,75.7340336635,113.8388898,0.0,220.879908,53.238744,86.9727562183,46.6580049252,4.83426,35.4804912931
 01/05  19:00:00,427.274693447,75.7303620347,53.9483885146,0.0,220.879908,53.238744,127.278618573,86.8400218286,4.83426,35.6043367447
 01/05  20:00:00,380.445953633,75.7303620347,7.69078222021,0.0,220.879908,53.238744,161.180738967,138.995254705,4.83426,17.3512242614
